cell_id,temperature_c,hppc_protocol,eis_record_index,eis_ocv_value,candidate_rule,adaptive_rule,candidate_id,pre_rest_voltage_v,ocv_delta_v,abs_ocv_delta_v,pulse_duration_s,post_rest_s,median_current_a,baseline_mode,include_pre_s,include_post_s,time_lambda,eis_fmin_hz,eis_fmax_hz,eis_lambda,eis_lambda_sequence,attempted_eis_lambdas,eis_points,eis_frequency_min_hz,eis_frequency_max_hz,eis_real_rmse_ohm,eis_img_rmse_ohm,time_rmse_mv,r0_ohm,corr,scaled_rmse,quality_pass,quality_flags,finder_candidate_count
59294,10,HPPC_1C,0,3.9569315910339355,nearest_long_discharge,primary_lambda,9,3.9511345,-0.005797091033935331,0.005797091033935331,359.90060000000085,3599.003499999999,-57.99904,time_charge,120.0,1200.0,0.001,0.03,50.0,3.0,"3.0,0.1",3.0,22,0.03729119896888733,38.4221305847168,8.236189547777695e-06,3.005022800705269e-06,6.151422380830097,0.001691281845344486,0.9282648777002301,0.3726372422706056,True,,30
59294,10,HPPC_1C,1,3.718400478363037,nearest_long_discharge,primary_lambda,15,3.7109195,-0.007480978363036961,0.007480978363036961,359.9006999999983,3599.0041000000056,-58.00145,time_charge,120.0,1200.0,0.001,0.03,50.0,3.0,"3.0,0.1",3.0,22,0.03729119896888733,38.4221305847168,6.0359225867707336e-06,3.606209192459893e-06,5.163297563198673,0.0017348285348984696,0.9283463792054641,0.37247301895766205,True,,30
59294,10,HPPC_1C,2,3.626159191131592,nearest_long_discharge,primary_lambda,21,3.622364,-0.0037951911315916576,0.0037951911315916576,359.9008000000031,3599.003399999998,-58.00106,time_charge,120.0,1200.0,0.001,0.03,50.0,3.0,"3.0,0.1",3.0,22,0.03729119896888733,38.4221305847168,7.0097308895876415e-06,3.2847751130224067e-06,5.710466808808114,0.0017784121225369047,0.9286483405268053,0.37043786781004323,True,,30
59294,10,HPPC_1C,3,3.499006748199463,first_short_candidate_passing_ocv_rmse_corr_gate,primary_lambda,25,3.4913965,-0.007610248199462877,0.007610248199462877,9.900799999988521,599.9005000000034,-58.00024,time_charge,120.0,1200.0,0.001,0.03,50.0,3.0,"3.0,0.1",3.0,22,0.03729119896888733,38.4221305847168,6.95242910665111e-06,2.725547223159031e-06,1.5018091190888774,0.002247253825341688,0.902456247462286,0.43018827740455523,True,,30
59485,10,HPPC_1C,0,3.9579553604125977,nearest_long_discharge,primary_lambda,9,3.952647,-0.005308360412597857,0.005308360412597857,359.90079999999944,3599.0046999999977,-57.99903,time_charge,120.0,1200.0,0.001,0.03,50.0,3.0,"3.0,0.1",3.0,22,0.03729119896888733,38.4221305847168,6.978708822829799e-06,3.1387105091393585e-06,6.05403157369078,0.0015877314599699573,0.928120851373666,0.37307671582822644,True,,30
59485,10,HPPC_1C,1,3.720111846923828,nearest_long_discharge,primary_lambda,15,3.7127195,-0.007392346923828175,0.007392346923828175,359.90060000000085,3599.0043000000005,-57.99927,time_charge,120.0,1200.0,0.001,0.03,50.0,3.0,"3.0,0.1",3.0,22,0.03729119896888733,38.4221305847168,5.146077295973084e-06,2.4803336104276093e-06,5.207428466265977,0.0016209982661869416,0.9193178592427245,0.3940233080824775,True,,30
59485,10,HPPC_1C,2,3.6277008056640625,nearest_long_discharge,primary_lambda,21,3.623895,-0.0038058056640624116,0.0038058056640624116,359.9005000000034,3599.0049999999937,-58.00114,time_charge,120.0,1200.0,0.001,0.03,50.0,3.0,"3.0,0.1",3.0,22,0.03729119896888733,38.4221305847168,5.637430667554368e-06,2.603763989959611e-06,5.972188795300426,0.0016549861256024395,0.928231157181761,0.37187978974124847,True,,30
59485,10,HPPC_1C,3,3.5002431869506836,first_short_candidate_passing_ocv_rmse_corr_gate,primary_lambda,25,3.492399,-0.007844186950683785,0.007844186950683785,9.900500000003376,599.9008000000031,-57.99841,time_charge,120.0,1200.0,0.001,0.03,50.0,3.0,"3.0,0.1",3.0,22,0.03729119896888733,38.4221305847168,8.799350482673443e-06,2.741302273016299e-06,1.4968077177814254,0.002120067864470617,0.9220501518108697,0.3860870106419207,True,,30
59627,10,HPPC_1C,0,3.9585375785827637,nearest_long_discharge,primary_lambda,9,3.953864,-0.004673578582763849,0.004673578582763849,359.90030000000843,3599.0040000000154,-57.9978,time_charge,120.0,1200.0,0.001,0.03,50.0,3.0,"3.0,0.1",3.0,22,0.03729119896888733,38.4221305847168,7.01823025012956e-06,2.37447694671049e-06,5.764229236130999,0.0014702778564230736,0.9280384935969571,0.3726404702711092,True,,30
59627,10,HPPC_1C,1,3.7205376625061035,nearest_long_discharge,primary_lambda,15,3.713903,-0.006634662506103339,0.006634662506103339,359.9009000000078,3599.003800000006,-58.00073,time_charge,120.0,1200.0,0.001,0.03,50.0,3.0,"3.0,0.1",3.0,22,0.03729119896888733,38.4221305847168,4.868909107306131e-06,2.8814302623565834e-06,5.159311300540484,0.0014695316025849865,0.9286827907287782,0.37048666682461273,True,,30
