time_s,voltage_v,current_a,temp_c,temp_amb_c,step_index
0.0,4.191873,-2.900098,25.44931983947754,25.880380630493164,10
60.00010000000475,4.19032,-2.900093,25.353477478027344,25.71090316772461,10
120.00010000000475,4.188997,-2.900101,25.342313766479492,25.68952751159668,10
180.0,4.187805,-2.900128,25.477869033813477,25.65622901916504,10
240.0002999999997,4.186616,-2.900096,25.397029876708984,25.77666664123535,10
300.0002000000095,4.185444,-2.900093,25.35024070739746,25.744171142578125,10
360.00010000000475,4.184361,-2.900083,25.416059494018555,25.767166137695312,10
420.0002999999997,4.183259,-2.900095,25.47234535217285,25.666561126708984,10
480.0005000000092,4.182125,-2.90005,25.56818199157715,25.78374671936035,10
540.0002000000095,4.181067,-2.900102,25.4722957611084,25.659381866455078,10
600.0004000000044,4.179959,-2.900075,25.546798706054688,25.6696834564209,10
660.0001000000047,4.178867,-2.900082,25.389896392822266,25.64119529724121,10
720.0004000000044,4.17781,-2.900102,25.43189239501953,25.825759887695312,10
780.0005999999994,4.176769,-2.900073,25.51514434814453,25.64516830444336,10
840.0002000000095,4.175706,-2.900091,25.492910385131836,25.836830139160156,10
900.0004000000044,4.174643,-2.900112,25.33757781982422,25.738649368286133,10
960.0,4.173594,-2.900118,25.504806518554688,25.70456314086914,10
1020.0002999999997,4.17253,-2.900114,25.4754695892334,25.77427864074707,10
1080.0005999999994,4.171499,-2.90011,25.467561721801758,25.744991302490234,10
1140.0002000000095,4.170455,-2.900096,25.530954360961914,25.653844833374023,10
1200.0004000000044,4.169402,-2.900077,25.42078399658203,25.843170166015625,10
1260.0004000000044,4.168381,-2.90011,25.542049407958984,25.62215232849121,10
1320.0002999999997,4.167364,-2.900096,25.431835174560547,25.8043155670166,10
1380.0002000000095,4.166317,-2.900104,25.500816345214844,25.780576705932617,10
1440.0001000000047,4.165258,-2.900119,25.57610511779785,25.663330078125,10
1500.0002999999997,4.164246,-2.900113,25.441354751586914,25.792442321777344,10
1560.0001000000047,4.163226,-2.900121,25.485776901245117,25.515960693359375,10
1620.0002999999997,4.162146,-2.900135,25.329605102539062,25.830488204956055,10
1680.0001000000047,4.161142,-2.900102,25.386686325073242,25.851871490478516,10
1740.0002999999997,4.160126,-2.900106,25.392200469970703,25.814613342285156,10
1800.0002999999997,4.159073,-2.900099,25.46360206604004,25.57224464416504,10
1860.0002999999997,4.158051,-2.90011,25.407291412353516,25.82891273498535,10
1920.0001000000047,4.157026,-2.900104,25.3248233795166,25.78609848022461,10
1980.0002999999997,4.155971,-2.900105,25.36687469482422,25.79167938232422,10
2040.0002000000095,4.154994,-2.900128,25.450109481811523,25.822572708129883,10
2100.0,4.153965,-2.900088,25.60379981994629,25.662498474121094,10
2160.0001000000047,4.152953,-2.90007,25.49602508544922,25.896963119506836,10
2220.000500000009,4.151929,-2.900113,25.4223575592041,25.76633071899414,10
2280.0004000000044,4.150915,-2.900119,25.557878494262695,25.67363166809082,10
2340.0004000000044,4.149887,-2.90013,25.524581909179688,25.64034080505371,10
2400.0001000000047,4.148871,-2.900142,25.52378273010254,25.682327270507812,10
2460.0002999999997,4.147817,-2.900093,25.31375503540039,25.77188491821289,10
2520.0002000000095,4.146822,-2.900141,25.373180389404297,25.802738189697266,10
2580.0004000000044,4.145792,-2.900098,25.46750259399414,25.668851852416992,10
2640.0004000000044,4.144775,-2.900096,25.399335861206055,25.87163734436035,10
2700.0004000000044,4.143783,-2.90011,25.381105422973633,25.824913024902344,10
2760.0002000000095,4.142711,-2.900126,25.489723205566406,25.619754791259766,10
2820.0004000000044,4.141715,-2.90011,25.4183349609375,25.695798873901367,10
2880.0001000000047,4.140666,-2.900114,25.348617553710938,25.7813663482666,10
2940.0,4.139648,-2.900067,25.524568557739258,25.611019134521484,10
3000.0002999999997,4.138649,-2.900126,25.409685134887695,25.721149444580078,10
3060.0002000000095,4.137633,-2.900127,25.426254272460938,25.884275436401367,10
3120.000500000009,4.136599,-2.900114,25.4666690826416,25.874757766723633,10
3180.000500000009,4.135601,-2.900113,25.61092185974121,25.71240234375,10
3240.0002000000095,4.134552,-2.900113,25.52300453186035,25.70294189453125,10
3300.0,4.133524,-2.900143,25.504724502563477,25.827251434326172,10
3360.0002000000095,4.132509,-2.900103,25.431821823120117,25.718751907348633,10
3420.0002000000095,4.131481,-2.900121,25.534038543701172,25.820907592773438,10
3480.0002000000095,4.130464,-2.900122,25.520597457885742,25.786087036132812,10
3540.0001000000047,4.129453,-2.900113,25.4278621673584,25.721923828125,10
3600.0,4.128447,-2.90012,25.362096786499023,25.741762161254883,10
3660.0001000000047,4.127441,-2.900093,25.434995651245117,25.736181259155273,10
3720.0,4.126429,-2.900089,25.56182861328125,25.71323013305664,10
3780.0002000000095,4.125367,-2.90011,25.339080810546875,25.83516502380371,10
3840.0002000000095,4.124337,-2.900093,25.4857120513916,25.72348976135254,10
3900.0002999999997,4.123293,-2.900084,25.483367919921875,25.820955276489258,10
3960.000500000009,4.122286,-2.900074,25.371564865112305,25.82172393798828,10
4020.0,4.121271,-2.900087,25.579221725463867,25.72348976135254,10
4080.0002999999997,4.120223,-2.900101,25.393749237060547,25.801904678344727,10
4140.000400000004,4.119215,-2.900102,25.379487991333008,25.83042335510254,10
4200.0002000000095,4.118208,-2.900113,25.53799819946289,25.632362365722656,10
4260.0002000000095,4.117158,-2.900096,25.465877532958984,25.702878952026367,10
